codigoOC;FechaEnvioOC;NombreOC;DescripcionOC;EstadoOC;ProcedenciaOC;MonedaOC;MontoNetoOC;DescuentosOC;CargosOC;ImpuestosOC;MontoTotalOC;ImpuestosOC_CLP;MontoNetoOC_CLP;MetodoPago;TipoDespacho;Financiamiento;UnidadCompra;UnidadCompraRUT;RegionUnidadCompra;entCode;Institucion;Sector;Proveedor;ProveedorRUT;ActividadProveedor;TamanoProveedor;RegionProveedor;RubroN1;RubroN2;RubroN3;CodigoProductoONU;ONUProducto;NombreItem;DescripcionItem;CantidadItem;UnidadMedida;MonedaItem;MontoNetoItem;DescuentoItem;CargosItem;ImpuestoEspecificoItem;MontoTotalItem;MontoNetoItemCLP
608-13209-SE22;14-03-2023 0:00:00;POC.COMPRA DE INSUMOS PARA BODEGA DE SUMINISTROS;ADQUISICIÓN  DE INSUMOS PARA BODEGA DE SUMINISTROS , SEGUN FACTURA N° 375390 , AUTORIZA EL PAGO , SEGÚN RES, EX. N°9379 DE FECHA  23.12.2022.;Aceptada;Trato Directo;CLP;226356;0;0;43007,64;269363,64;43007,64;226356;A 45 dias;Otra Forma de Despacho;22.04.005.003;Hospital Dr. Gustavo Fricke;61.606.602-1;Region de Valparaiso;6936;HOSPITAL DR GUSTAVO FRICKE DE VINA DEL MAR;SALUD;COMERCIAL KENDALL (CHILE) LTDA;77.237.150-0;VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.;Grande;Región Metropolitana de Santiago;Equipamiento y suministros médicos;Productos para el cuidado de heridas;Cierres médicos de tejidos y productos relacionados;42312010;Grapadoras para cierre de piel;Grapadoras para cierre de piel;XXXXXXX ADQUISICIÓN DE INSUMOS (PREMIUM MF TA 30 V3 DPSBL.;2;Unidad no definida;CLP;113178;0;0;0;226356;226356
608-13308-SE22;13-01-2023 0:00:00;AGP_08776-22_ADQ. ESTUDIOS MOLECULARES DE CANCER;AGP_08776-22_ADQ. ESTUDIOS MOLECULARES DE CANCER AL PULMON EGFR_ ALK_ROS1_PDL1 SERVICIO_CIRUGIA ADULTO  RUT PACIENTE_5.700.16X-X RES EXENTA 8776 28.11.2022;Recepcion Conforme;Trato Directo;CLP;947104;0;0;0;947104;0;947104;30 dias contra la recepcion conforme de la factura;Despachar según programa adjuntado ;;Hospital Dr. Gustavo Fricke;61.606.602-1;Region de Valparaiso;6936;HOSPITAL DR GUSTAVO FRICKE DE VINA DEL MAR;SALUD;UC CHRISTUS SERVICIOS CLINICOS SPA;99.573.490-7;COMPRA, VENTA Y ALQUILER (EXCEPTO AMOBLADOS) DE INMUEBLES PROPIOS O AR| HOSPITALES Y CLINICAS;Grande;Región Metropolitana de Santiago;Salud, servicios sanitarios y alimentación;Medicina y servicios de salud;Laboratorios clínicos;85121804;Laboratorios patológicos;Laboratorios patológicos;EX10018_ EGFR;1;Unidad no definida;CLP;420640;0;0;0;420640;420640
608-13036-SE22;14-03-2023 0:00:00;POC. ADQUISICIÓN DE INSUMOS; ADQUISICIÓN DE SUMINISTROS PARA BODEGA , SEGÚN RES. EX. N° 9379 DE FECHA 23.12.2022.ASPOCIADA A FACTURA N° 366784.;Recepcion Conforme;Trato Directo;CLP;1500000;0;0;285000;1785000;285000;1500000;A 45 dias;Otra Forma de Despacho;22.04.005.003;Hospital Dr. Gustavo Fricke;61.606.602-1;Region de Valparaiso;6936;HOSPITAL DR GUSTAVO FRICKE DE VINA DEL MAR;SALUD;COMERCIAL KENDALL (CHILE) LTDA;77.237.150-0;VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.;Grande;Región Metropolitana de Santiago;Equipamiento y suministros médicos;Productos para el cuidado de heridas;Sutura y productos relacionados;42312201;Sutura;Sutura;XXXXXXX ADQUISICIÓN DE INSUMOS PALINDROME -P 19/36 VT KIT ;10;Unidad no definida;CLP;150000;0;0;0;1500000;1500000
608-13199-SE22;14-03-2023 0:00:00;poc. ADQUISICIÓN INSUMOS BODEGA SUMINISTROS ;AUTORIZA LA COMPRA DE INSUMOS PARA BODEGA DE SUMINISTROS SEGÚN FACTURA N° 358443. (SEGÚN RES. EX. N°9379 DE FECHA 23.12.2022)ASOCIADA A FACTURA N° 358443.;Aceptada;Trato Directo;CLP;4430234;0;0;841744,46;5271978,46;841744,46;4430234;A 45 dias;Otra Forma de Despacho;22.04.005.003;Hospital Dr. Gustavo Fricke;61.606.602-1;Region de Valparaiso;6936;HOSPITAL DR GUSTAVO FRICKE DE VINA DEL MAR;SALUD;COMERCIAL KENDALL (CHILE) LTDA;77.237.150-0;VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.;Grande;Región Metropolitana de Santiago;Equipamiento y suministros médicos;Productos para el cuidado de heridas;Cierres médicos de tejidos y productos relacionados;42312010;Grapadoras para cierre de piel;Grapadoras para cierre de piel;XXXXXXX ADQUISICIÓN DE INSUMOS PARA BODEGA ALMACENAMIENTO, (CORDLESS U/S DISSECTOR 26 CM.);1;Unidad no definida;CLP;300000;0;0;0;300000;300000
608-13218-SE22;14-03-2023 0:00:00;POC.COMPRA DE INSUMOS PARA BODEGA DE SUMINISTROS;AUTORIZA EL PAGO  DE INSUMOS PARA BODEGA DE SUMINISTROS ASOCIADA A FACTURA  N° 584917  RESOLUCIÓN EX. N°0 9379 DE FECHA 23.12.2022;Aceptada;Trato Directo;CLP;2786000;0;0;529340;3315340;529340;2786000;A 45 dias;Otra Forma de Despacho;22.04.005.003;Hospital Dr. Gustavo Fricke;61.606.602-1;Region de Valparaiso;6936;HOSPITAL DR GUSTAVO FRICKE DE VINA DEL MAR;SALUD;COMERCIAL KENDALL (CHILE) LTDA;77.237.150-0;VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.;Grande;Región Metropolitana de Santiago;Equipamiento y suministros médicos;Productos quirúrgicos;Implantes quirúrgicos, ensanchadores, extensores, alambres quirúrgicos y productos relacionados;42295501;Implantes cardiovasculares;Implantes cardiovasculares;XXXXXXX ADQUISICIÓN DE INSUMOS PARA UNIDAD DE ALMACENAMIENTO (CUSTOM PACK OM 63 );7;Unidad no definida;CLP;85000;0;0;0;595000;595000
608-13199-SE22;14-03-2023 0:00:00;poc. ADQUISICIÓN INSUMOS BODEGA SUMINISTROS ;AUTORIZA LA COMPRA DE INSUMOS PARA BODEGA DE SUMINISTROS SEGÚN FACTURA N° 358443. (SEGÚN RES. EX. N°9379 DE FECHA 23.12.2022)ASOCIADA A FACTURA N° 358443.;Aceptada;Trato Directo;CLP;4430234;0;0;841744,46;5271978,46;841744,46;4430234;A 45 dias;Otra Forma de Despacho;22.04.005.003;Hospital Dr. Gustavo Fricke;61.606.602-1;Region de Valparaiso;6936;HOSPITAL DR GUSTAVO FRICKE DE VINA DEL MAR;SALUD;COMERCIAL KENDALL (CHILE) LTDA;77.237.150-0;VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.;Grande;Región Metropolitana de Santiago;Equipamiento y suministros médicos;Productos quirúrgicos;Instrumentos quirúrgicos de corte, trampas y productos relacionados;42291609;Pinzas quirúrgicas;Pinzas quirúrgicas;XXXXXXX ADQUISICIÓN DE INSUMOS PARA BODEGA ALMACENAMIENTO ,  (EGIA 4 HANDLE STADARD);6;Unidad no definida;CLP;170000;0;0;0;1020000;1020000
608-13059-SE22;04-01-2023 0:00:00;WFG_APOYO UNIDAD PUESTA EN MARCHA;SERVICIO DE APOYO UNIDAD DE PUESTA EN MARCHA  RES.EX 6679 DE 07/09/2022 CONVENIO POR 12 MESES  SERVICIO CORRESPONDIENTE AL MES DE OCTUBRE CUOTA 3/12 INDICAR EN LA FACTURA LA OC La Boleta Electrónica o Factura Electrónica debe ser enviada a: dipresrecepcion@custodium.com en formato xml. Para consultas de estados de pago deberá ingresar a http] s://pagos.sigfe.gob.cl/ o https://www.tgr.cl/ banner Pago a proveedores del estado.   ;Recepcion Conforme;Trato Directo;CLP;20409536;0;0;3877811,84;24287347,84;3877811,84;20409536;A 45 dias;Otra Forma de Despacho, Ver Instruc;;Hospital Dr. Gustavo Fricke;61.606.602-1;Region de Valparaiso;6936;HOSPITAL DR GUSTAVO FRICKE DE VINA DEL MAR;SALUD;LAYNER SPA;76.034.985-2;OTRAS ACTIVIDADES DE SERVICIOS DE APOYO A LAS EMPRESAS N.C.P.| OTROS SERVICIOS DE ATENCION DE LA SALUD HUMANA PRESTADOS POR EMPRESAS;Grande;Región Metropolitana de Santiago;Servicios profesionales, administrativos y consultorías de gestión empresarial;Servicios de apoyo a la administración de empresas;Servicios de apoyo a la gestión;80161504;Servicios administrativos;Servicios administrativos;CS50030 APOYO A LA UNIDAD  DE PUESTA EN MARCHA ;1;Unidad no definida;CLP;20409536;0;0;0;20409536;20409536
608-13120-SE22;10-01-2023 0:00:00;WFG_TERAPIA OXÍGENO NÍTRICO PARA INHALACIÓN;TERAPIA OXÍGENO NÍTRICO PARA INHALACIÓN (TERAPIA INOMAX) RES. EXENTA 7294 DE FECHA 12-10-2022 CONVENIO DESDE EL 01-08-2022 POR UN PERIODO DE 3 AÑOS SERVICIO DE ACUERDO A PRE-FACTURA 415/22  08-10-2022 al 09-10-2022 INDICAR EN LA FACTURA LA ORDEN DE COMPRAS La Boleta Electrónica o Factura Electrónica debe ser enviada a: dipresrecepcion@custodium.com en formato xml. Para consultas de estados de pago deberá ingresar a http] s://pagos.sigfe.gob.cl/ o https://www.tgr.cl/ banner Pago a proveedores del estado.;Recepcion Conforme;Trato Directo;CLP;2500629;0;0;475119,51;2975748,51;475119,51;2500629;A 45 dias;Otra Forma de Despacho, Ver Instruc;;Hospital Dr. Gustavo Fricke;61.606.602-1;Region de Valparaiso;6936;HOSPITAL DR GUSTAVO FRICKE DE VINA DEL MAR;SALUD;LINDE GAS CHILE S.A.;90.100.000-K;FABRICACION DE SUSTANCIAS QUIMICAS BASICAS, EXCEPTO ABONOS Y COMPUESTO| VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.;Grande;Región Metropolitana de Santiago;Productos químicos industriales;Compuestos y mezclas;Derivados y compuestos orgánicos;12352102;Compuestos orgánicos nitrados o nitrosados;Compuestos orgánicos nitrados o nitrosados;CS40003 ARRIENDO DE 02 EQUIPOS INOMAX TERAPIA DE ÓXIDO NÍTRICO ;1;Unidad no definida;CLP;2500629;0;0;0;2500629;2500629
608-13212-SE22;14-03-2023 0:00:00;POC.COMPRA DE INSUMOS PARA BODEGA DE SUMINISTROS;AUTORIZA EL PAGO DE INSUMOS PARA BODEGA DE SUMINISTROS. ASOCIADA A FACTURA N° 503338 , RES. EX. N°9379 DE FECHA 23.12.2022.;Aceptada;Trato Directo;CLP;180000;0;0;34200;214200;34200;180000;A 45 dias;Otra Forma de Despacho;22.04.005.003;Hospital Dr. Gustavo Fricke;61.606.602-1;Region de Valparaiso;6936;HOSPITAL DR GUSTAVO FRICKE DE VINA DEL MAR;SALUD;COMERCIAL KENDALL (CHILE) LTDA;77.237.150-0;VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.;Grande;Región Metropolitana de Santiago;Equipamiento y suministros médicos;Productos de resucitación, anestesia y respiratorios;Ventiladores y accesorios de presión mecánica positiva;42272214;Válvulas, adaptadores o conectores de circuito;Válvulas, adaptadores o conectores de circuito;XXXXXXXADQUISICIÓN DE INSUMOS PARA UNIDAD DE ALMACENAMIENTO. (CONN 6006  1/4 Y/LL);20;Unidad no definida;CLP;4500;0;0;0;90000;90000
608-13219-SE22;14-03-2023 0:00:00;POC.COMPRA DE INSUMOS PARA BODEGA DE SUMINISTROS;AUTORIZA EL PAGO DE INSUMOS PARA BODEGA DE SUMINISTROS ASOCIADA A  FACTURA N° 590095 RES,EX. N° 09379 DE FECHA 23.12.2022.;Aceptada;Trato Directo;CLP;12950000;0;0;2460500;15410500;2460500;12950000;A 45 dias;Otra Forma de Despacho;22.04.005.003;Hospital Dr. Gustavo Fricke;61.606.602-1;Region de Valparaiso;6936;HOSPITAL DR GUSTAVO FRICKE DE VINA DEL MAR;SALUD;COMERCIAL KENDALL (CHILE) LTDA;77.237.150-0;VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.;Grande;Región Metropolitana de Santiago;Equipamiento y suministros médicos;Productos quirúrgicos;Manipuladores y posicionadores quirúrgicos de implante y productos relacionados;42293406;Posicionadores quirúrgicos de implante;Posicionadores quirúrgicos de implante;XXXXXXX ADQUISICIÓN DE INSUMOS PARA UNIDAD DE ALMACENAMIENTO (VLV EVOLUTR-34 TAV EVOLUT R CE29 L 1MX);1;Unidad no definida;CLP;12848400;0;0;0;12848400;12848400
